Sign_Order,Sign_Order_Num,Fortune_Level,Poem_Title,Poem_Text,Holy_Meaning,Sign_Interpretation,Meaning_Explanation,Detailed_Explanation,DongPo_Commentary,BiXian_Commentary
第 11 籤,11,乙甲 (下下),孫臏遇龐涓,今年好事一番新，富貴榮華萃汝身，誰識機關難料處，到頭獨立轉傷神。,莫貪求、名未遂、財祿平、訟不利、病者兇、事不濟、問行人、多阻滯。,此籤先吉後兇。先實後虛。先熱鬧後落陷。先稠密。後妒害。識透機關。須是平氣忍受。善自解脫。不可急躁生事。更加纏縛。獨立傷神。明是小人結黨。君子守正。孤立無與。靜以需之。困可亨。否可泰也。反此則兇。,一番新。初勢甚爲得意。萃汝身。外面亦似光彩。豈知翻雲覆雨。變態無常。爾詐我虞。人情難測。一旦落在機關。殊出意外。獨立傷神。小人道長。君子道消也。於時爲剝。剝極自復。君子正固則吉。若以機關敵機關。則失所以處剝之義矣。,今年開始就好事不斷，甚爲順遂，而且顯得光鮮亮麗，但是人生事事難預料，世事變化無常，受到小人的設計及陷害，讓人暗自神傷，但這是考驗君子的時候，如果你也和對方一樣耍詐，那你和對方又有什麼不一樣呢？此時應該靜下心來，不好的運勢，如何抵抗還是不好，倒不如等待好運勢的到來，終有否極泰來的時候。,命運難亨、亦不如意、吉中有兇、事實無濟。切莫貪求、出外不利、如或妄動、福消禍至。,作事須宜慎、人心隔肚皮、用心防險算、百事允相宜。
第 12 籤,12,乙乙 (中平),鮑叔牙薦管仲,營爲期望在春前，誰料秋來又不然，直遇清江貴公子，一生活計始安全。,求名遲、財未至、病改醫、訟宜息、行人歸、孕生貴、有所遇、方吉利。,此籤幾番謀望。事與願違。屢次相左。然遇合有定。須在近江之地。或水旁姓名之人。必有格外投契。一味靠着此人。可保生計安全。此當關系夙緣。不可以有意求。只可以無意遇。莫之爲而爲。莫之致而致。靜。以俟之可耳。,春後期望。秋又不然。主現在謀爲反覆。事多不成。時未至。緣未至也。清江指地。公子指人。將來須遇清江之人。方是真知己。真靠背。一生活計。謂平生衣食所出也。保安全。謂此人永遠扶持。一生豐衣足。專靠此人。不須他求也。若勉強奔馳。只以現前光景。則亦何益之有哉。,看似美好的計劃，但總是無法成局，在反反覆覆之中，總無定見，這表示時機未到，就算勉強行之，也只能以失敗收場。會有一個機緣來改變這一切的衰運，如能遇見住在水邊的人或是姓名有水部的人．才得以改運，必須是在無意間遇到的人，刻意認識是沒用的，此人將對你的下半生起了極大的變化，幾乎會以對方爲主導了，從此沒有生計上的疑慮。時機到了此人必會出現，不可強求。,作事遲疑、求財未遂、臨江貴人、望之如意。萬一他求、徒勞心志、且謹踐修、以俟時至。,凡百苦難告、好事反傷情、從今逢引掖、謀望盡皆亨。
第 13 籤,13,乙丙 (上吉),姜太公釣蟠溪,君今庚甲未亨通，且向江頭作釣翁，玉兔重生應發跡，萬人頭上逞英雄。,時未亨、宜守舊、遇卯日、名利就、病遲愈、訟終利、行人歸、事終濟。,此籤現在時運未濟。且須安靜耐守。如彼江頭釣翁。何等閒散。宜待卯年月日。大有發跡。士子是時科第。仕宦是時升擢。商賈是時財利。定有高壓萬人之勢。未可以泛常論也。,江頭鈞翁。安閒守分之人。言沉困時。須宜學此。以待運至。玉兔重生。當是年月疊卯之際。應發跡。顯達在此時也。萬人頭上。一時超邁等倫。逞英雄。爲所欲爲也。佔此者。名位超出之選。,目前的時運不佳，適合安身樂命，倒不如學習釣魚的人，只要一份安閒，不須呼朋引伴，自在地享受那一份安靜。快則卯月日，慢則卯年，會有大發之跡，必會成爲各行各業的龍頭，仕人升官、農人豐收、商人大利，而且會有萬人之上的名聲，而非一般的泛泛之輩，要好好把握，目前的等待是爲了明日的成就。,命運當蹇、萬事遲疑、且宜守舊、藏器待時。年與月日、逢卯則宜、或遇望日、方稱所爲。,孕男婚不成、守舊莫紛更、不貪與不妒、平安福祿生。
第 14 籤,14,乙丁 (下下),張耳陳餘交,一見佳人便喜歡，誰知去後有多般，人情冷暖君休訝，歷涉應知行路難。,始雖易、終則難、名利失、病未安、訟反覆、孕生女、行未歸、事多阻。,此籤先喜後憂。不宜放肆。大概親而又疏。合而復離。歷涉險阻。竟無成就。兢兢業業。庶免後悔。,佳人。女子姣好之稱。凡佔者相交共事之人。便喜歡。一見浹洽。去後多般。情意反覆也。人情冷暖。大抵如斯。不足詫異。須知世人不可輕信。每受愚弄。過後方知。如遠涉者偏歷險阻。始信行路之難也。戒佔者慎重提防。毋貽後悔也。,見到面貌姣好的女子，對其有好感，但經認識之後，卻受到對方的百般刁難，大都是因爲對方嫌棄你的條件，當然也包括了財力的不足，這種世間冷暖你會覺得訝異，其實只要是經歷過重重險阻的人，纔會真的相信並非所有的路都是那麼好走的，如遇到險惡的路程也是正常的，不如先自我評估過後，再決定要如何做，只要小心行事，必能減少傷害。,事望團圓、反生齟齬、人多不情、恐難憑據。只宜自省、毋爲他誤、戒之戒之、且疑且慮。,乍喜反成憂、虛花總不收、世情多反覆、守己是良謀。
第 15 籤,15,乙戊 (中平),王羲之坦腹,兩家門戶各相當，不是姻緣莫較量，直待春風好消息，郄調琴瑟向蘭房。,婚未合、訟未決、名利遠、音信缺、孕難生、防口舌、非知己、莫妄說。,此籤現在謀事。甚不相宜。看似機緣。終竟反覆。即宜舍此另圖。自有好處。春間定得信息。如婚姻前定。自然和合。只可待時。不可妄爲。時至自得成就耳。,各相當。門戶相等。不是姻緣。強求何益。莫較量。戒佔者不須留戀也。好消息。謂另有好音。直待春時應驗。此際琴瑟調和。信屬嘉耦。蘭房。婦人內室也。於此完婚。允遂宜室宜家之願矣。凡事慎重。自有天緣。,看似門當戶對的兩人，卻不是談姻緣的好對象，就算是強求也不會有結果，可能還會有反效果，倒不如先放下求親的念頭。當春天來臨時，會另有好消息，而且是門好姻緣，這是樁好婚事，而且是天註定的，只要慎重行事，等待時機的來臨，佳偶自會出現。,兩意未合、宜可待時、防憂與患、謹慎愆期。直待來春、萬事方佳、若或妄動、徒勞心懷。,兩家未合、百事難諧、門戶可慮、猶恐成乖。
第 16 籤,16,乙己 (下下),田氏紫荊再榮,官事悠悠難辨明，不如息了且歸耕，旁人煽惑君休信，此事當謀親弟兄。,訟難明、和爲貴、功名無、行人至、婚未成、病有祟、財莫貪、終無利。,此籤不利訟事。以和爲貴。凡事虛懸無着也。猶疑不定。皆宜停止。恐有傍人慫恿。不可聽信。唯有商謀親密之人。骨肉之際。庶可免憂患耳。門內參商者宜戒之。,悠悠難辨。是非未決也。勸令歸耕。進取無益。煽惑休信。須要自作主張。當謀弟兄。戒勿背親而向疏也。佔者見機省悟。不可執迷。親厚同氣。自有利益。慎之。,此時如遇訴訟之事，將無法得到有利的結果，若能求和，甚至退隱山林，必能將傷害減至最低，當然你的心中會有憂慮和懷疑，不如在此都放下，纔是最好的決定。會有身旁的人加以慫勇，千萬不可相信，此時只能找自己的親兄弟或親信之人商議，而且不可走漏消息，應想辦法讓自己全身而退，不可再留戀了。,訟事未決、且宜從和、傍人煽惑、平地風波。慎勿輕信、自投網羅、謀之兄弟、誰能奈何。,埋頭莫向前、時違休怨天、貴人垂手接、亨通到百年。
第 17 籤,17,乙庚 (下下),虞芮爭閒田,田園價貫好商量，事到公庭彼此傷，緃使機關圖得勝，定爲後世子孫殃。,事悖理、訟必傷、名未濟、財平常、產勿謀、病宜禳、宜謹慎、保安康。,此籤示人當依本分平等。凡事再三籌議。不可涉訟。訟則終兇。若恃財勢賄囑。或情面請託。雖僥倖一時之勝。終必欺心害理。不免子孫之受報耳。佔者戒之。,價貫商量。戒勿刻剝欺壓。刻剝必致爭訟。公庭浪費。彼此均不利。何益之有。機關得勝。子孫受殃。言心術狡詐。上千鬼神之怒。果報有不爽也。人務貪謀。顧不爲子孫計哉。,凡事在商場上，必須憑着公平及真心，不可仗勢欺人，刻意剝削他人，如將事情鬧上公堂，將對自己不利，甚至兩敗俱傷。緃使利用手段而獲勝，也不是真正的勝利，公理自在人心，天地神明都看到了，其禍害將殃及子孫，所謂“不是不報，只是時候未到”，要深思。此籤表示你經常違背常理行事，對私德有所損傷，怕會傷到後代，要小心謹慎。,事依本份、自有前程、若用機關、反害其身。如作交易、當合人情、若見妄作、難保安寧。,心田兩字在公平、財產交關勿見侵、凡事只宜退一步、須知守己得安寧。
第 18 籤,18,乙辛 (中平),王佑植三槐,知君指擬是空華，底事茫茫未有涯，牢把腳根踏實地，善爲善應永無差。,名利難、終則有、病禱神、訟勿問、行人遲、事難就、且向善、祈福佑。,此籤不宜妄意求謀。有名無實。只是空華。何用貪癡不已。不如按部就班。腳踏實地行去。內存善心。外行善事。將來自有善報。較之無益之求不已遠乎。,空華。謂若鏡花水月。有影無形。可望而不可即也。未有涯。謂妄念無底止也。腳踏實地。諭令舍妄即真。去非就是。一味穩步徐行。庶乎所爲皆善。自得善報。永無差。謂感應不爽也。由是科名遂心。財利稱意。子嗣獲吉。皆可操券而獲矣。佔者消兇集慶。急自修省。,現在所想的美好景象，都是虛空的，而且是不切實際的，如果再一味地空想，將使自己陷入無底的深淵，倒不如腳踏實地，一步一步地踩穩，忘卻過去的空想，多做善事，自然會有好的回報。此籤表示目前還是耕耘的階段，或許會很辛苦，但累積汗水，自會收穫甜美的果實，只要一心向善，方向就不會錯。,作事未成、空自指擬、且宜緩圖、急則損己。更宜向善、禱神求安、轉禍爲福、可免多端。,本分安常到處諧、虧爲妄想便生災、財源未遂徒勞力、且宜向善保亨來。
第 19 籤,19,乙壬 (上吉),裴航遇仙,嗟子從來未得時，今年星運頗相宜，營求動作都如意，和合婚姻誕貴兒。,作事吉、名利遂、婚姻成、訟得理、孕生貴、行人至、病易安、皆吉利。,此籤不問貴賤。皆主謀爲和合。年運亨通。從前阻滯。一旦稱心。凡動皆主有成。不須疑慮。,有所經紀曰營。有所謀望曰求。要爲此事曰動。力爲此事曰作。佔此者。無子得子。無官得官。無財得財。婚姻有魚水之歡。親交有膠漆之應。凡事機緣。無不和合。向來運蹇。至此恰得亨通。失意時佔此最驗。,在求得此籤之前凡事皆不順遂，然而從現在開始，運勢好轉，不論是求什麼，幾乎都可達成，尤其是求姻緣及子嗣方面，更是會有好結果。過去的不如意，都可以拋到腦後。對於順利者，或許沒有太大的感受，但對於原本失意的人，此籤更是靈驗，要好好把握良機，不可錯過。,久困沈埋、時運今泰、作事有成、名利俱快。更無阻滯、宜爲買賣、士人佔之、前程遠大。,時來時去本參差、時運亨通任所爲、財祿科名皆遂意、婚姻嗣息總相宜。
第 20 籤,20,乙癸 (下下),嚴子陵登釣臺,一生心事向誰論，十八灘頭說與君，世事盡從流水去，功名富貴等浮雲。,訟終兇、止則宜、名利輕、病擇醫、行人遠、婚遲疑、凡作事、且隨時。,此籤主同心無人。孤立少助。險難在前之象。既經指示。宜早提防。然大勢已去。難可挽回。不啻流水浮雲之變滅。唯有達觀排遣。斬斷利鎖名繮。毋復繫戀。更生事故。佔者悟此。則知患難中玉成不少。或又有困而得亨之日乎。,心事向誰論。踽踽涼涼。無可告語也。十八灘。屬贛州。灘名惶恐。言前路甚多驚險也。流水去。逝者不可復回。等浮雲。現在皆成烏有。尚何功名富貴之可至哉。知功名富貴之無常。而等之流水浮雲。是即與向誰論者。而與之論脫險之道。每遇之學也。慈恩豈有戰極哉。,雖有滿腹的心事，但總是沒有一個可以傾訴的對象，一直以來都是挫折重重，未來所要面對的路途，也是驚險萬分，這一切只能往自己肚裏吞。人生世事難預料，對於遇到的不幸，只能讓一切付諸流水，不要有太多的計較或留戀，想要等待富貴功名，似乎期待只能落空。此籤雖然表示不好，但若能因事先知道而加以預防，或以平常心看待，則會較能釋懷。,心事未決、且宜緩圖、時勢縱吉、須仗神扶。凡事退省、終保無虞、更加修福、可履亨途。,扁舟逢險地、傾覆甚須防、有人牢記作、凶事得安康。
第 21 籤,21,丙甲 (下下),須賈害範睢,與君夙昔結成冤，今日相逢顯惡緣，把好經文多諷誦，祈求戶內保嬋娟。,事無成、病禱愈、出不宜、訟有理、冤報冤、求神解、若欲貪、終必敗。,此籤系冤仇纏結。訟事最兇。急自耗財。和解爲妙。貴人佔之。謹和處世。多行善事。免遭兇禍。平人佔之。求神懺禮。遷善改過。可得人口平安。一切謀爲。均宜迴心向善。乃可逢凶化吉。冤家宜解不宜結。明者悟之。,夙昔結成冤。嫌釁不起自今日也。相逢顯惡緣。今茲正圖報復也。經文諷誦。示人迴心向善。存好心。行好事。感格神佛扶持。以冀解散也。嬋娟。指月光言。比譬婦女。言仰沐神佑。家中妻女人口。可保無恙。凡解冤釋患。禳病消災。均有感應。唯在善願甚切。可無憂也。嬋娟。十五月圓之候。時日或應在此。,或許過去因故與人結怨，而這些過節會因現在的相遇而發生衝突，對方也許會因此而有報復的行爲發生，此時必須多誦唸經文，將這些福報迴向給家人，尤其是家中的女眷，對方會針對家中的女性加以報復，只要一心向善，不可惡言相向，則可逢凶化吉，事發時機可能會是月圓之日，要多加小心注意。,舊有夙冤、作事隨緣、急宜向善、方保安全。力行好事、心契上天、變兇爲吉、出自福田。,前因損害用心機、只怕中間有險危、財物存留防耗散、更憂人口得傷悲。
第 22 籤,22,丙乙 (上吉),李泌七歲賦長歌,碧玉池中開白蓮，莊嚴色相自天然，生來骨格超凡俗，正是人間第一仙。,訟決勝、名易成、病即愈、財即盈、婚姻合、貴子生、家道成、百事亨。,此籤主瀟灑出塵之應。謀望須清高門路方可。一切財利塵俗事。不甚相宜。功名可許。當主翰苑清品。問孕恐涉空花。問病者。有意參玄學道則吉。佳世之人。亦恐辭座之忌。語皆着空故也。,池開白蓮。最爲清高妙品。但朝榮暮悴。光景無常。恐難久遠堅牢。骨格超凡。言生質之穎異也。第一仙。言其身列仙班也。功名佔此。必登清要之選。或系張留侯李鄴侯一流人物。尋常庸俗之人佔此。多虛花。少誠實。若問出世因由。登真正果。指日可望。上上大吉。,池中白蓮有出污泥而不染的清高之象，高貴清嚴的外表更是自然天成，但也有孤立清高之意，雖煞白天是欣欣向榮的感覺，但到了晚上，則所有花都休息了，有無法持久的意思。天生與衆不同，在別人眼中是相當特異獨行的，如果是高官貴族，則此簽有榮升之意，如果是一般的平凡百姓，表示口出空言，只有表面好看，其實內在相當空洞，要注意。如果是修道之人，則得道之日已不遠了。,事見明白、不假人爲、更宜出入、切莫遲疑。士人佔之、高攀桂枝、一切謀望、好趁明時。,更宜出入莫遲疑、士子高攀折桂枝、婚合自然生貴子、萬般謀望趁明時。
第 23 籤,23,丙丙 (下下),殷浩書空,花開花謝在春風，貴賤窮通百歲中，羨子榮華今已矣，到頭萬事總成空。,名與利、似虛花、訟不勝、病癒加、婚未合、行人賒、事無就、徒諮嗟。,此籤主前運起跌不常。富貴窮通。都經涉歷。後運則大不吉。如百花已經開過。從今搖落。無復榮華之望。是以萬事成空。總宜退謝。倘更勉強圖謀。徒勞罔功。終欠結果。,花開花謝。榮悴無常。運程似此。立睹更變之象。榮華已過。萬事成空。復何望哉。凡謀不吉。訟宜散。病防老。財不久。祿將終。婚無成。,人生運勢有好有壞，當好運來臨時，卻像風中花朵，輕易就被吹落，而壞運卻緊追而來，一切的富貴窮通早已在你的人生中經歷過了，但是榮華富貴早已流逝，不再回頭。如果能看透這一點，則較能釋懷，若是強求，也只是徒勞無功，不可能有收穫的，及早認清事實。,凡百謀望、有成有敗、始雖快意、終竟成害。吉中有兇、否生於泰、若不斂藏、後憂方大。,此籤大不終、花開遇暴風、榮華全剝落、病訟盡皆兇。
