Sign_Order,Sign_Order_Num,Fortune_Level,Poem_Title,Poem_Text,Holy_Meaning,Sign_Interpretation,Divine_Guidance,Allusion
第 11 籤,11,上籤寅宮,書薦姜維,欲求勝事可非常，爭奈親姻日暫忙；到頭竟必成鹿箭，貴人指引貴人鄉。,此卦因禍得福之象，凡事營謀吉利也。,有意興變 到底安然 若問用事 只近貴人,"家宅大吉　六畜中平　求財有　尋人見
自身順利　公訟有理　交易成　移徙旺
行人未至　失物東方　婚姻合　山墳吉
田蠶中平　疾病禳星　六甲男",三國時。姜維原爲魏國戰將。被孔明收服。姜維智勇雙全。得孔明器重。孔明帶兵六出祁山。病重命危。將己所著兵書二十四篇。計十萬四千一百一十二字。內有八務七戒六恐五懼之法傳授給大將軍姜維。望其秉承遺志。
第 12 籤,12,上籤寅宮,武吉遇師,否去泰來咫尺間，暫交君子出於山；若逢虎兔佳音信，立志忙中事即閒。,此卦禍中有福之象，凡事先兇後吉也。,換麻得絲 擊人雙足 要見分明 因災得福,"交易宜遲　疾病秋吉　婚姻成　移徙守
行人未回　家宅安　六甲男　失物見
六畜慎吉　自身吉　田蠶利　山墳吉
尋人有信　求財有　公訟吉",武吉遇師。武吉本是樵夫。姜子牙釣於磻溪。二人相遇。見子牙用直鉤釣魚大笑。子牙看武吉氣息斷曰。今日入城打死人。武吉怒別。擔柴入城。誤觸王相致死。文王畫地爲牢。武吉後被暫釋。照顧老母至秋後正法。老母令其找姜子牙求救。太公收其爲徒。授兵法。又令其挖坑施咒破解先天數。秋後不見武吉伏刑。文王演先天數。以爲武吉已畏罪自殺。後文王碰見武吉。武吉引文王見姜太公。受封武德將軍。師徒二人爲文王效力。
第 13 籤,13,中籤寅宮,羅通拜帥,自小生在富貴家，眼前萬物總奢華；蒙君賜紫金玉帶，四海聲名定可誇。,此卦龍門得遇之象，凡事有變大吉也。,囚人逢赦 病即安然 龍門得遇 名遍皇都,"家宅祈福　行人祈保　移徙守舊　尋人見
自身祈福　田蠶中平　失物東方　疾病安
求財冬吉　六畜中平　婚姻合　山墳吉
交易宜遲　公訟有理　六甲女",羅通拜帥：唐初。羅通十七歲。於校場比武獲帥印。領兵北伐掃敵。後觸怒唐太宗被免官。獲程咬金求情得寬赦。喻少年得志。有成語曰。羅通掃北。
第 14 籤,14,中籤卯宮,子牙棄官,宛如仙鶴出樊籠，脫得樊籠路路通；南北東西無阻隔，任君直上九霄宮。,此卦仙鶴離籠之象，凡事先兇後吉也。,任意無慮 路有亨通 隨心所欲 逍遙如人,"家宅不安　失物東南　婚姻合　尋人阻
自身還願　疾病歿送　六甲男　移徙吉
田蠶秋利　求財合　行人見　山墳吉
公訟宜和　交易合　六畜損",子牙棄官。(封神傳)商朝紂王時。姜子牙。一無所成。樣樣失敗。時已七十二歲。火燒琵琶精後。獲司天監職。官拜下大夫。紂王建鹿臺。子牙諫王免勞民傷財。不果。逃回宋異人莊(宋家莊)上。欲與妻馬氏離朝歌(首府)往西岐(文王首府)。其妻不肯。子牙寫了休書。獨自往西岐去。在渭水釣魚。等待時機。
第 15 籤,15,中籤卯宮,蘇秦得志,行人怨日氣難吞，忽有災事勿近前；鳥破林巢無所宿，可尋深處穩安身。,此卦鳥鵲離林之象，凡事到底應心也。,若人和怨 何時可伸 好言不信 守舊待時,"家宅先兇後吉　移徙遠可　交易成　六畜旺
自身謹防　失物難見　六甲男　尋人見
婚姻阻滯　疾病還願　行人順　山墳吉
公訟有理　求財吉　田蠶旺",蘇秦得志。戰國。蘇秦。洛陽人。師鬼谷子。遊說秦王。書十二上其說。不行。裘敝金盡。憔悴而歸。至家妻不下織機(不理睬其夫)。嫂不爲炊(不煮飯給其叔)。秦慚怒。得太公陰符。發憤苦讀。困怠時用錐刺股。痛而再讀。再出謀事。以合從(合縱)之說。聯六國抗秦。說趙竟佩六國相印。
第 16 籤,16,中籤卯宮,葉夢熊朝帝,愁眉思慮暫時開，啓出雲霄喜自來；宛如糞土中藏玉，良工薦舉出塵埃。,此卦陰陽和合之象，凡所謀皆吉也。,得處無失 損中有益 小人逢兇 君子順吉,"自身秋冬吉　公訟不利　交易成　尋人見
家宅不利　移徙守舊　婚姻成　失物阻
六甲虛驚　疾病作福　行人至　山墳安
田蠶祈福　求財成　六畜平",葉夢熊朝帝。明朝。葉夢熊嘉靖年進士。爲人有膽識。忠貞愛國。萬曆年間。邊疆地帶有寇作亂。可未有將領敢前往平亂。葉上朝晉見神宗皇帝。求領兵討伐邊寇。爲國效力。
第 17 籤,17,中籤卯宮,話梅止渴,莫聽閒言說是非，晨昏只好念彌陀；若將狂話爲真實，畫餅如何止得飢。,此卦畫餅充飢之象，諸事多虛少實也。,心中不定 枉看經文 恰似畫餅 食也難吞,"家宅祈福　六畜不利　疾病還願　行人遲
自身順利　公訟宜和　交易慢　尋人見
求財順利　移徙守舊　婚姻阻　山墳吉
田蠶宜早　失物不見　六甲安",話梅止渴。三國。曹操領兵。敗季缺水。兵卒口渴。曹曰前有一默林。到那當可喫梅解渴。兵卒聽了口水直流。便不覺得口渴。望梅止渴出此典故。與畫餅充飢同一意。
第 18 籤,18,上籤卯宮,曹國舅爲仙,金烏西墜兔東昇，日夜循環至古今；僧道得知無不利，士農工商各從心。,此卦陰陽消長之象，凡事遂意之兆也。,心中無事 所作有功 如弓上箭 一發當空,"田蠶早種　疾病拜送　求財順　行人至
六畜欠利　山墳大吉　交易成　尋人至
公訟有理　家宅安　婚姻合　移徙吉
失物遲見　自身吉　六甲男",曹國舅爲仙。八仙之一。宋朝曹太后之弟。不守王法。後感恥辱。於是散盡家財。賙濟窮人，入終南山修道。遇鍾離權及呂洞賓。引入仙班。手持玉簫爲其標誌。
第 19 籤,19,中籤辰宮,子儀封王,急水灘頭放船歸，風波作浪欲何爲；若要安然求穩靜，等待浪靜道此危。,此卦船行急灘之象，凡事守舊待時也。,急水下船 險處待時 若問營謀 儘可施爲,"家宅作福　婚姻不就　疾病祈福　尋人難
自身作福　六甲虛驚　行人至　公訟和
求財未成　移徙守舊　田蠶吉　山墳吉
交易未成　失物難尋　六畜損",子儀封王。子儀唐朝大將軍。平安祿山和史思明之亂。歷七帝。唐肅宗拜爲大元帥。封爲汾陽郡王。剛八十歲。知有敵侵犯。郭子儀即披掛上陣。建中二年郭子儀八十五歲因病壽終正寢。
第 20 籤,20,中籤辰宮,姜太公遇文王,當春久雨喜開晴，玉兔金烏漸漸明；舊事消散新事遂，看看一跳過龍門。,此卦久雨初明之象，凡事遂意也。,神佛護持 有災無危 途生平安 到底榮歸,"家宅中平　婚姻隨意　行人阻　公訟和
自身祈福　疾病禳星　田蠶阻　移徙吉
求財未遇　山墳舊吉　六畜阻　失物見
交易待時　六甲女　尋人遲",姜太公遇文王。周。姜尚。字子牙。汲人(東海許州人)。道號飛熊。先世封於呂。亦曰呂望。避紂亂居東海之濱。釣於磻溪(渭水)。其鉤爲直。意不在魚。志在君相。文王聞其賢。聘爲師(丞相)(其時年八十)。後周伐紂。滅商興周。武王稱曰尚父。封其子丁公於齊。
第 21 籤,21,上籤辰宮,李旦龍鳳配合,陰陽道合總由天，女嫁男婚喜偎然；但見龍蛇相會合，熏熏入夢喜團圓。,此卦陰陽道合之象，凡事和合大吉也。,謀望從心 婚姻孕男 資財進益 更利田蠶,"疾病遇良方　山墳大吉　交易成　田蠶興
公訟有理　家宅安　婚姻合　六畜興
移徙昌盛　自身利　六甲男　尋人見
失物得見　求財有　行人至",李旦龍鳳配合。李旦爲唐睿宗。武則天登基。皇帝貶作平民。流落鄉間。巧與胡鳳姣相遇。結爲夫婦。民間傳說他們二人手上各有半個從胎帶取出的方印。經鬥印證明他們能合一。龍指睿宗。喻婚姻由天也。
第 22 籤,22,中籤巳宮,六郎逢救,旱時田裏皆枯槁，謝天甘雨落淋淋；花果草木皆潤澤，始知一雨值千金。,此卦旱逢甘雨之象，凡事難中有救也。,田蠶倍熟 命運漸來 病遇良藥 行人便回,"家宅祈保　失物西方　交易遲　六畜利
求財頗有　疾病歿送　婚姻合　尋人難
行人有阻　山墳安吉　六甲女　公訟虧
移徙守舊　自身安　田蠶利",六郎逢救。楊延昭爲楊業之六子。稱六郎。楊業統率三軍。被番邦圍困。楊業頭撞李陵碑而亡。楊七郎討救兵被箭射死。六郎撤退至葫蘆谷。得五臺山和尚(楊五郎)相救出險。喻及時雨也。
第 23 籤,23,中籤巳宮,懷德招親,欲扳仙桂入蟾宮，豈慮天門不任君；忽遇一般音信好，人人歡笑領頂花。,此卦手扳仙桂之象，凡事必有貴人也。,商賈利益 行藏有危 病安訟遂 儘可施爲,"家宅欠安　行人有危　山墳舊吉　尋人難
自身作福　田蠶不利　交易合　公訟虧
求財遂意　六畜不利　婚姻阻　疾病安
六甲作福　移徙欠吉",懷德招親。高懷德乃北宋開國功臣。陳橋兵變。皇袍加身。高懷德擁趙匡胤做皇帝。又娶宋太祖趙匡胤之妹。燕國公主爲妻。官封駙馬都尉。後領兵與楊家將同徵遼國。
第 24 籤,24,下籤巳宮,殷郊遇師,不成理論不成家，水性癡人似落花；若問君恩須得力，到頭方見事如麻。,此卦癡人道塞之象，凡事守舊待時也。,是非莫說 必須仔細 心正理直 方免災危,"疾病急求神　田蠶多災　自身險　尋人阻
家宅不安　六畜多災　求財阻　公訟虧
婚姻待時　失物難見　交易難　移徙吉
六甲祈福　山墳不吉　行人阻",殷郊遇師。(封神榜)殷郊是商朝紂王之子。拜廣成子爲師。三年後學得法術。下山時曾向廣成子宣誓。不幫紂王幹壞事。要助周文王。然而。在投靠文王的半途中。受人唆使回家協助紂王。師父往勸。師徒大打出手。後姜子牙合燃燈道人。把殷郊夾於兩山之間。被廣成子鏟死。以應其誓。
第 25 籤,25,中籤巳宮,李廣機智,過了憂危事幾重，從今再立永無空；寬心自有寬心計，得遇高人立大功。,此卦古井逢泉之象，凡事貴人成就也。,訟終有理 病得安全 出入求謀 古井逢泉,"家宅平平　婚姻和合　六畜不利　失物難尋
自身阻滯　六甲有險　尋人阻隔　疾病祈福
求財阻滯　行人阻隔　公訟有理　山墳不安
交易阻滯　田蠶不利　移徙不合",李廣機智。李廣是漢代的武將。勇敢善戰善於騎箭。漢文帝時。李廣領軍攻打匈奴。經過一場激烈的戰鬥。李廣的人馬被打散，李廣也受了重傷，被匈奴兵俘虜。匈奴兵把他放在兩匹馬馱着繩子織成的吊牀裏。想把他送到單于的大營去。李廣躺在那張吊牀上動也不動，真的像死了似的。大約走了十幾裏地，他瞅準旁邊一個匈奴兵騎的一匹好馬。使勁一掙扎，猛地跳上馬奪了弓箭。把那匈奴兵推下馬去。調過馬頭拼命往南飛奔。匈奴派了幾百名騎兵追趕。李廣一面催馬快跑。一面迴轉身來。拈弓搭箭。一連射死了幾個追在前面的匈奴兵。匈奴兵只好瞪着白眼讓他跑了。李廣終於脫了險。李廣雖脫險。因他損兵折將，被判死罪。漢朝有一條規矩，罪人可以拿錢贖罪。李廣繳了一筆錢贖了罪，回家做了平民。過了不久，匈奴又在邊境騷擾，漢武帝重新起用李廣，擔任右北平郡（遼寧凌源西南）太守。這是後話。
第 26 籤,26,中籤巳宮,鍾馗得道,上下傳來事轉虛，天邊接得一封書；書中許我功名遂，直到終時亦是虛。,此卦虛名之象，凡事虛多少實宜守舊也。,上下心煩 求閒不閒 慾望功名 守舊得安,"家宅祈福　田蠶半熟　失物難尋　六甲女
交易不成　六畜可養　疾病祈保　公訟虧
婚姻不成　尋人西方　自身安　山墳吉
行人有信　移徙守舊　求財阻",鍾馗得道。姓鍾名馗。字正南。中南山人氏。唐時人。上京赴考。得狀元。但相醜。豹頭環眼。鐵面虯鬚。唐德宗見怕。欲取消其名銜。宰相盧杞附和。鍾馗打盧杞。德宗命拿鍾馗。鍾馗奪劍自殺。陸贄進諫。封爲驅魔大神。鍾馗以爲鬼魔必在地府。遂往斬之。閻君曰：大凡人鬼之分只在方寸間，心正之鬼可爲神，心歪之人即爲鬼。姓鍾大悟。陰間鬼魅有十殿閻君經理。遂返陽間斬妖除魔。成了捉鬼大王。
第 27 籤,27,中籤午宮,劉基諫主,一謀一用一番書，慮後思前不敢爲；時到貴人相助力，如山壁立可安居。,此卦屋好牆壁之象，凡事穩當無險也。,改舊成新 寒花遇春 從前阻滯 今得稱心,"山墳守舊大吉　家宅安　婚姻阻　六畜利
公訟宜和　自身吉　六甲女　尋人遲
失物無蹤　求財有　行人遲　移徙吉
疾病延安　交易難　田蠶熟",劉基諫主。明朝。青田人。字伯溫。通經史。工詩文。精天文兵法。爲軍師佐朱元璋統一天下。時元璋在應天。韓林兒朱揀領兵在安豐。被張士成軍隊圍攻。元璋要親自領兵去解除安豐危困。劉基急來勸阻。判斷此去必敗。如劉基所料。元璋被困。幸有將軍徐達及常遇春相救。才得脫險。
第 28 籤,28,中籤午宮,李後尋包公,東邊月上正蟬娟，頃刻雲遮亦暗存；或有圓時還有缺，更言非者亦閒言。,此卦月被雲遮之象，凡事昏迷未定也。,浮雲遮月 不須疑惑 等待雲收 便見收穫,"家宅不安　田蠶不利　疾病難痊　尋人難
自身祈保　六畜不利　求財阻　公訟虧
婚姻不合　移徙守舊　交易吉　山墳改
六甲有驚　失物西方　行人滯",李後尋包公。（朝野史）宋李後。爲劉後與奸佞郭槐所害。李後所懷太子生後被換狸貓。李後乃宋真宗妃。給劉妃陷害。把狸貓剝皮去尾。調換太子。李後被打入天牢。劉後又迫害李後。李後逃出天牢後乞食。哭泣至失明。包公審此案。夜審郭槐。尋回李後。真相大白。
第 29 籤,29,中籤午宮,趙子龍救阿斗,寶劍出匣耀光明，在匣全然不惹塵；今得貴人攜出現，有威有勢衆人欽。,此卦寶劍出匣之象，凡事有威有勢也。,寶劍出匣 光輝萬里 貴人指引 無不觀美,"疾病還舊願　自身吉　六甲女　公訟和
家宅祈福　求財利　行人滯　移徙興
田蠶宜早　交易成　六畜損　山墳吉
失物南方　婚姻好　尋人見",三國。趙雲。字子龍。常山人。爲劉備的猛將。時曹操欲下江南。先攻先主劉備於莘野。先主走樊城。覆敗於當陽。家眷失散。子龍於土牆下遇縻夫人。夫人將子阿斗託雲。雲將馬授夫人。夫人不肯授。投井而死。雲哭埋畢。懷抱阿斗。殺死曹軍十多員大將。衝出重圍。遇張飛在長板坡接應。救出了阿斗。
第 30 籤,30,中籤午宮,棋盤大會,勸君切莫向他求，似鶴飛來暗箭投；若去採薪蛇在草，恐遭毒口也憂愁。,此卦安份守己之象，凡事小心謹防也。,閉口合齒 他事莫理 若有虧心 到頭害己,"自身平平　行人阻隔　公訟莫興　山墳大吉
求財待時　田蠶不利　移徙守舊　家宅安
婚姻未許　六畜不利　失物不見　交易滯
六甲虛驚　尋人阻隔　疾病難痊",棋盤大會。唐太宗時。薛仁貴西征被困於西唐。二路元帥仁貴之子薛丁山與其母柳氏金定其妹薛金蓮和程咬金前往救。至棋盤山。竇一虎劫薛軍的糧不果。匪妹竇仙童迎戰並擒丁山。程咬金做媒。兩對兄妹結爲夫婦。皆大歡喜。同往救薛仁貴之困。喻冤家變親家。賊匪從良。
第 31 籤,31,中籤未宮,佛印會東坡,清閒無憂靜處坐，飽後喝茶時坐臥；放下身心不用忙，必定不招冤與禍。,此卦守舊安然之象，凡事時待時則吉也。,守舊安然 叩問神仙 直待時來 事亦偶然,"家宅祈保　疾病歿送　行人至　移徙吉
求財守待　自身安　六畜穩　失物虛
交易宜遲　婚姻合　尋人難　山墳吉
田蠶秋熟　六甲女　公訟和",佛印姓謝名端卿。表字覺老。江西饒州府浮樑縣人氏。因應舉至京。宋神宗因天旱求雨。往大相國寺臨壇。謝端卿欲瞻龍顏。東坡允其充作侍者。神宗見捧茶侍者慌忙。問其出處。端卿巧答。皇帝大悅。賜名了元。號佛印。即時披剃爲僧。端卿無奈成爲和尚。喻人莫無事生事。做事勿慌忙。否則生禍。正文在下（警世恆言十二卷）。謝端卿被逼成爲和尚。蘇東坡欲以美女色誘佛印。使其還俗。趁佛印酒醉。逼琴娘陪寢。佛印不爲所動。並常以佛理曉悟東坡。東坡終成正果。有詩曰。東坡不能化佛印。佛印反得化東坡。若非佛力無邊大。那得慈航渡愛河。(愛河指東坡之情慾。其有七位妻妾。)
第 32 籤,32,中籤未宮,劉備求賢,前程杳杳定無疑，石中藏玉有誰知；一朝良匠分明剖，始覺安然碧玉期。,此卦剖石見玉之象，凡事着力成功也。,寶在石中 異人少知 直待分明 儘可施爲,"山墳改向吉　失物西方　婚姻成　尋人見
家宅平平　疾病欠安　六甲虛　公訟驚
求財勞力　自身安　行人杳　移徙改
田蠶晚成　交易阻　六畜旺",劉備求賢（三顧草廬）。三國時。諸葛亮。字孔明。漢末避居南陽。諸葛亮隱居於隆中之茅屋。志學清修。養生之道。研究奇明門遁法。天文術數。卦算韜略。無所不精。初不求聞達於諸侯。後徐庶薦於劉備。先主劉備與關張三往問計。延爲軍師。先主即位。拜丞相。受以託孤。後主封爲武卿侯。諭有寶心安。得意遲早。靜待時機。不請自來。
第 33 籤,33,中籤未宮,咬金聘仁貴,內藏無價寶和珍，得玉何須外界尋；不如等待高人識，寬心猶且更寬心。,此卦藏玉外覓之象，凡事待時可也。,內藏金玉 何必外尋 遇貴指引 不須勞心,"疾病遇良醫　失物北方　婚姻就　尋人勞
家宅祈保　山墳宜改　六甲男　公訟擱
求財守待　自身安　行人阻　移徙吉
田蠶半熟　交易遲　六畜旺",薛仁貴于山上午睡。突見程咬金路過被虎追。仁貴打虎。救了咬金。程咬金給令箭一枝。着仁貴投軍。薛仁貴後成唐朝名將。程咬金爲唐之開國功臣。喻有寶之人。終有出頭之日。
第 34 籤,34,中籤未宮,桃園結義,行藏出入禮義恭，言必忠良信必聰；心不了然且靜澈，光明紅日正當空。,此卦紅日當空正照之象，凡事遂意也。,心中無事 秋水澄清 不須疑惑 事自然成,"家宅清吉　疾病歿送　交易難　尋人滯
六甲有險　山墳大吉　婚姻合　公訟虧
田蠶不利　自身安　行人阻　失物虛
移徙守舊　求財虛　六畜衰",漢獻帝時。天下混亂。盜賊蜂起。劉備（皇室宗親劉備）。關羽（關雲長家住山西蒲州）。張飛（翼德，市場裏賣豬肉的張飛）三人志同道合。在張飛家的桃園結拜爲義兄弟。劉備爲始。關羽次之。張飛爲弟。宰牛馬昭告天地。結義匡扶漢室。三人誓說。同心協力。扶危救困。上報國家。下濟黎庶。後來三顧茅廬，禮請諸葛亮下山輔佐中興漢室。從此嶄露頭角，劉、關、張、三兄弟名留青史。
第 35 籤,35,中籤申宮,唐僧取經,衣冠重整舊家風，道是無穹卻有功；掃卻當途荊棘刺，三人約議再和同。,此卦衣冠重整之象，凡事先難後易也。,不用憂疑 自有佳期 若問前程 前路可宜,"田蠶不利　山墳宜舊　交易利　六畜興
公訟有理　家宅亂　婚姻阻　尋人至
失物遲見　自身吉　六甲驚　移徙安
疾病祈福　求財好　行人至",唐三藏信姓陳名禕。十三歲出家。法號玄奘。往天竺(印度)取經。歷盡艱辛。四年始達。學習十五年後返國。攜回大量佛經。並譯成中文。西遊記內述其故事。
第 36 籤,36,中籤申宮,湘子遇賓,眼前病訟不須憂，滿地資財儘可求；恰似猿猴金鎖脫，自歸山洞去來遊。,此卦猿猴脫鎖之象，凡事先難後易也。,脫除了事 且自寬心 待得時來 堪尋正路,"家宅不安　六甲祈保　自身安　移徙吉
求財大利　田蠶十足　行人至　失物遠
交易待時　公訟有理　六畜平　山墳吉
婚姻未成　疾病欠安　尋人至",湘子遇賓。韓湘子和呂洞賓都是八仙。韓湘子其標誌爲手持花籃。韓湘子唐朝詩人。字若雲。湘祖名仲卿。父名會。爲韓愈之侄。韓湘子好飲酒。自少學道。被洞賓引渡同入山修道登仙。號瑤華帝君。
