Sign_Order,Sign_Order_Num,Fortune_Level,Palace,Current_Hexagram,Change_Trigger,Changed_Hexagram,Fortune_Category,Five_Elements,Symbol_1,Symbol_2,Symbol_3,Symbol_4,Symbol_5,Poem_Text,Interpretation
第 11 籤,11,下下籤,乾宮,否,六三,遁,破破,金,水,木,火,土,金,無蹤又無跡，遠近難尋覓，平地起風波，似笑還成泣。,這支籤，主要回答有關人口走失及物品、家畜丟失的卜問。很遺憾，回答是否定的。你只當是退財消災折禍吧。人口定失。也只當是被高人導入深山大澤，經過修練必會得道飛昇但願迷失的不是你自己。因爲那會使你一陣陣清醒一陣陣糊塗，在別人眼裏你是個精神病患者，不可理解。而你自己卻清醒得很，精神病人才是他們，那些用怪怪的眼光盯着你的人。 但不能排除引起這一切不幸的原因，是觸犯了地煞的可能。歷代陰陽家謂：每日均有當值的兇惡神煞，名目繁多。衆煞，以劫煞在此籤中表現特別顯著，主動盜傷殺。表現時間爲： 午戊歲在亥月(寅午戌月在亥日，寅午戊日在亥時，下同)，亥未歲在申，申子辰歲在巳，巳酉醜歲在寅。爲了進兇趨吉，你頭最好有本《萬年曆》，這樣你將很容易掌握準確的時間。另，有條件的話，最好能去拜拜地神，拜禱土地公公、土地婆婆們正管着這檔於事呢。
第 12 籤,12,中下籤,坤宮,夬,初九,大過,平破,土,金,水,木,火,土,神黯黯，意悠悠，收卻張，莫下鉤。,這不是一以稱得上吉利的籤，儘管不爲大凶，你仍可以當作一個警告。雖然沒有說出個讓你不要着手去幹的原因，也沒有指出何方來的干擾，怎樣加以提防，就名象一個懶得多作解釋的兄長：“收線吧，別再於下去了。”可是，想一想就會明白，阻力來自於你自己。“神黯黯”，你的神形不夠光彩，精神狀況不佳，這樣你的意念自然難以集中，怎麼能夠釣到你的目地物—那條悠悠然的魚呢？ 世上沒有常勝將軍，也沒有終生的失敗者，不過，這一次你是無法戰勝它的，這條魚，悠哉遊哉，快快樂樂，充滿了生機和靈性。 所以，聰明的做法是放棄這個追求，退守原位，養精蓄銳，以待時機。
第 13 籤,13,中籤,乾宮,乾,九二,同人,平,金,命,命,命,命,命,得意宜逢婦，前程去有緣，利名終有望，三五月團圓。,你這個人，叫我怎麼說你纔好？你辦事全憑着自己的興趣，沒有多大的勁差別，也沒有什麼計劃性，更缺乏持之以恆的毅力和耐性。雖然你意氣用事，但卻太陰星高照，一生盡遇女貴人，逢凶化吉，無往不利。這一次，本也有不祥之兆，弄得你心神不寧，可是，這回又被一位女性貴人給你化解開來，使你轉憂爲喜，名利雙獲。而且，日子就在近期，三五一十五天內定可分曉。不要高興得太早，聽我說完。 你不可以在近期內，去探視病中的親友，也不要去參加一位女性長者的追悼會和喪葬事務，這樣才能被動祛災避禍。飲食方面也有禁忌：生長土內蕨類植物，如薯、筍、竽艿、參類藥物。 最好能參拜觀音菩薩，祈求庇佑。
第 14 籤,14,下下籤,艮宮,睽,六三,大有,破破,土,金,水,木,火,土,鼑沸起風波，孤舟要渡河，巧中藏卻拙，人事轉嗟跎。,鼎沸，原意爲油鍋被燒滾了的意思，可見這場風波非同小可。不是這場風波的當事人之一，所以想跑，躲過一時是一時，想要一個人單獨離開風波是非之地，一走了之，越遠越好。但結局卻與你的願望大相徑庭，那時你才發現自己太笨了，連這起碼的俗話都忘了：組得了和尚，跑不了廟。正確的做法是不跑，勇敢地去承擔自己的過失。該自首的就去自首，該道歉的就向對方主動道歉，該罰則罰，該賠則賠。 舉頭三尺，便有神靈，人不報應，天亦報應，你躲得過哪一時呢？ 這場風波終究將改變你的命運，從此將走一段相當艱澀的歷程，而且時間也會很漫長。但你不必灰心，我的朋友。你在今後，要多做善事，多做有益於衆人的事情。儘量避免與人閒聊，以免口角生非。適當調整飲食結構，不要喫冷膩的牛肉、羊肉及雞、鴨、鵝。
第 15 籤,15,中下籤,兌宮,鹹,初九,革,平破,金,水,木,火,土,金,意在閒中信未來，故人千里意徘徊，天邊雁足傳消息，一點梅花春色回。,你問千里之外的那個人嗎？一個字：忙。終日裏東跑西顛，連想念你的時刻都幾乎沒有。人在忙裏，意在閒中。頭腦裏除了工作還是工作，繁冗的事務，紛陳雜沓，累得他不勝負荷，倒頭便要睡覺休息。夢裏？夢裏也是工作，壓力太大了。沒有給你寫信，只好話你原諒了。不過那也只是暫時的，不久你就會收到來信的。古人以雁足傳書象徵信息的傳遞，寄託了異地親友的相思。 這個遠方的人，到你身邊的日子是鐵定了的：一點梅花春色回。也就是說年底，臘盡春還的時候，將與你一起團圓重聚，歡度春節。 你要做的事情自己去做就是，同時也應去參拜菩薩。祈求對方在外平安順心，身健體康。何方之神可託，西北方位，如來佛祖。因爲在易經八卦中，乾代表西北方向，代表馬。此外，你要保護、照顧好自己的頭部，不要受到風雨及意外的傷害。夜裏子時，千萬不要洗溼了頭髮。
第 16 籤,16,中上籤,離宮,同人,六二,乾,持平,火,水,土,木,金,火,心私同事知，同門外好施，功交如，事有終。,你心性平和、沉穩、待人熱情、誠懇、素來頗受同事、同學、親友的喜歡，受到普遍的尊重，廣有朋友緣。你卜問的這件事情，關鍵在於合作者，這樣一個合作者與你相識的時間不算長，但倆人一見如故，要謀的事也能一拍即合。 這樣一個合作者，最好不是你的同行、同事，也不要沾親帶故，這樣才能保證取行事半功倍的效益。功交加，就是事半功倍的意思。 換一句話說，此人須不在原有人際圈內，方爲稱心的合作者。另外，你要注意保密。有要輕易泄露出去，那樣將會添亂。 總之，事情會善始善終，得到圓滿妥善的解決，放心好了。
第 17 籤,17,上籤,乾宮,乾,九四,小畜,持,金,火,水,土,木,金,欲行還止，徘徊不已，藏玉懷珠，寸心千里。,這支籤令人費解的是最後一句：寸心千里。寸心爲“忖”。付，猜度、權衡的意思。千里爲“重”，重是慎重的重。總的說來，是讓你多多動腦子，不要輕率行動，草莽行事，還是緩一步再動爲妙。 這不是在猜謎語、作遊戲嗎？這種測字的預測法暗含在籤詩中，曲折一些，靈性的原理卻是一樣，亦可取得殊途同歸的妙處。 因爲你懷中之物，藏藏掩掩，不同凡響，可說是稀世珍寶了。 當然，你也就不便輕易露白於世。但似乎亮出採纔會找到一條財路，可以升發，那結局將是很能誘惑自己的，因此，又有也蠢蠢欲動。所以，你不免有些猶豫。 你一定不要憑着一時的衝動。做出於自己不利的事來。時辰未到，萬不可輕舉妄動，須暫時停頓下來，靜觀變化。有如山止。 記住：百動不如一靜，事緩則圓。
第 18 籤,18,中籤,乾宮,乾,上九,夬,平,金,命,命,命,命,命,心慼慼，口啾啾，一番思慮一番憂，說了休時又不休。,這是回答有關戀愛和婚姻的一支籤，如果你卜問的事與此無關，知情可以推衍出相近的結論。你問目前這位戀人或配偶到底適不適合自己，對方會不會主動拋棄自己，或者自己是不是應當主動離開對方？離開後到底於我有利還是有弊？ 人的感情世界，多姿多彩，紛紛雜雜。各種社會關係人際關係也繁複而微妙，往往是牽一髮而動全身。所以，說了休時又不休，欲罷不能，優柔寡斷。其實這從籤詩上可以看出，不分開當是定局。這是天意。倒是弄得自己悲悲慼慼，時而長吁短嘆，時而瞅瞅自語，委實是種大可不必的自我傷害。 陰和陽，兩兩相交，又互爲補充。互相對立，相反相成。所謂“陽盛陰衰”、“陰盛陽衰”的不均衡現象，生活中常有發生。不管這種位置如何失當，最要緊的是調整好自己的心態，才能明白自己的“勢力範圍”應當處於消、還是長的態勢，纔會擺平心靈的那碗水。
第 19 籤,19,上上籤,艮宮,履,初九,訟,持持,土,木,金,火,水,土,不遠有近，似易似難，等閒一事，雲中笑看。,這條籤如果光認字面上看，淺顯明白，很容易被人忽視。其實，中間深藏着玄機，不經點破，是難以弄橫的。原來這件等閒的小事，這件不遠不近、似易似難、中不溜兒的事情要辦得完善的話，關鍵在於“雲中笑看”。易經八卦裏，乾、坤、震、巽、坎、離良、兌所對應的自然事物分別爲天、地、雷、風、水、火、山、澤。按照今天的常識，誰都會認爲雲是由水蒸氣凝聚而成，主要構成成份應爲水。那麼，籤詩中的雲是不是代表水，代表“離”封呢？錯了。古人認爲雲是當風聚集而成的，所以，將雲歸爲風一類。也就是說，對應的封應當是“巽”。 巽卦，所對應的方位是東南，季節是春夏之交，所對應的動物屬相是雞。屬性是人，這個人含進人、進一步、滲透等意思。 你將這些與自己卜問的事，聯繫在一起反覆考慮幾遍，就會頓然大悟的。
第 20 籤,20,中上籤,艮宮,履,六三,乾,持平,土,木,金,火,水,土,桃李笑春風，西飛又到東，家中無意緒，船在浪濤中。,桃花紅豔，李花潔白，競相開放在盪漾的春風裏，休浴着和煦的陽光，綻定出朵朵的笑靨。你像一隻辛勞的蜜蜂，離開了溫馨的家，四處奔波。又像一隻彩蝶，貪戀花叢，上下翻飛，洋洋自得，興味盎然，樂而忘歸。一時間，你忘記了你不應當忘記的一切，你的家，你的親人，你的責任，義務，你的名聲，你姓什麼，叫什麼？快樂裏蘊含着憂愁、風流、放縱將會使你付出難以想象的代價。你生命之舟在驚濤駭浪裏顛簸、搖盪，將有頓覆的危險。 你能掙扎並脫離這片苦海嗎？廣義上來說，這種偏桃花運是背運，因爲接踵而來的是災難。除非你不在乎聲敗名裂，除非你不再關心自己的親人。不怕他(她)受到凌辱和傷害，你當然可以不相信神靈在這支籤裏給你的忠告。
第 21 籤,21,上上籤,離宮,同人,上九,革,持持,火,水,土,木,金,火,一水遠一水，一山旋一山，水窮山盡處，名利不爲難。,這是支求名利的問事籤。此去前途山水相逢，頗有一番周折，貴在堅持，恆心不變，挫折不搖，意志堅定。兩次以上的波折中，你都能應付自好，順利通過，表現出你不同尋常的意志和智慧，最後將取得圓滿的成功。 當然，你也有着應當留心的事項，必須高度警惕，加意提防。 第一個回合中，要盯牢一個屬陀的人，防範加害。而給予你援助的是一位屬羊的朋友。另處，你不能用第一次波折的經驗去套用在每二次波折中，你也絕不要輕視了這關鍵性的第二個回合，一位女性朋友自西南方向出現時，你才大有轉機，這位屬馬或者屬羊的朋友對你提出的忠告，都是有益無害的，儘管她也許不會直接了當，正兒八經的提出來。你要留心觀察她的一舉一動，意會她的暗示。她不是神，但神靈會通過她指點你，因爲你相信神明，曾給神發過宏願。
第 22 籤,22,下下籤,巽宮,無妄,初九,否,破破,木,火,土,金,水,木,事相扶，在半途，翻覆終可免，風波一點無。,你想要卜問的的看起來是兩件事，簡直打不定主意要預測哪一件才適宜。只是心偏重於打聽這兩件事到底有沒有危險性，危險的程度有多大、能不能避免？其實，要問的兩件事可以說是—回事，這兩件事又密切相關，互爲因果。絕對不會互相礙事，而是互相補充：事相扶，互相扶持的意思，就像一道甜點心裏加上椒鹽，格會更加爽口一樣。事情的最後結局，終會大事化小，小事化了，直至風消雲散，平平靜靜。 爲什麼？神籤只回答了是什麼。將會怎樣？並沒有答覆過多的提問和解釋。不過，這裏可以透露一點點，此事中的主要當事人，是一個有根基的人，也可以理解成必有天佑的吉人。忠心相助的朋友也有好幾位，而且個個都非等閒之輩。 爲此，你必須去敬拜觀音，這位救苦救難的菩薩。爲了你，也爲了你所牽腸掛肚的人。
第 23 籤,23,中上籤,巽宮,無妄,九五,噬嗑,持平,木,金,火,水,土,木,喜喜喜，春風生桃李，不用強憂煎，明月人千里。,春將盡，夏將臨的季節裏桃樹和李樹都已座上了果子。雖然還遠沒有熟透，卻預示了豐收的信息，能不使人喜氣洋洋嗎？因爲你是這些果實的主人，享有收穫、使用和分配它們的權利。 同時，你也將給衆多的受惠者帶來一份快樂和恩惠。 好在你生性並不吝增嗇，卻是開朗大方、豪爽重義，懂得怎樣回報那些爲桃樹李樹澆水施肥、剪枝除蟲的下級和朋友。不論什麼樣的情緒和不同意見對你產生困擾，你終將端出一個完整而又面面俱到的分配方案來，滿足大家的心願，得到一種皆大歡喜、衆心舒暢的局面。一輪明月朗朗生輝，普照千里，每一個人都沐浴在潔淨無瑕的月色中。 你不用不着爲這一類事而憂慮而煩心了。你在經濟上的收入也許不會特別大，但因爲實施了這種公正的分配方案，受到下屬和朋友的普遍尊重和衷心擁護。你收穫的是人心，金錢買不到的忠心。
第 24 籤,24,中下籤,離宮,同人,九四,家人,平破,火,土,金,水,木,火,意孜孜，心慼慼，要平安，防出入。,孜孜，第一層意思是勤勉，而在表達心態意境的範圍裏，是指非常高興。我們常說樂孜孜，喜孜孜、孜孜直樂，都是這個意思，不過現代漢語裏常習慣寫成滋滋了。戚呢，這是悲慼、痛苦傷感的意思。這支籤提出了有關安全問題的警告和提示。如果你忽略了安全，將會使心情發生根本性的改變，轉喜爲憂。也就是說，好事將會變爲壞事。 事物的變化很難說。壞事變好事，要花費很大的精力和時間，要付出巨大的努力。好事變壞事卻在一念的差池，短短的一瞬間。 若求平安，就要謹防出入，這裏說的出入，一是指人口與家庭間的進出。你每天都要邁進的住宅大門，有沒有權拜土地和家神，使自己不致觸動煞氣？第二個方面指物資錢財的進出庫房，你的褡褳，錢包捏得緊不緊，會不會造成功地外流，釀造閃失？
第 25 籤,25,下下籤,乾宮,姤,上九,大過,破破,金,水,木,火,土,金,見不見，也防人背面，遇不遇，到底無憑據。,在你的生活中，有沒有過這樣的經驗：你的衆多親友中，突然有人背叛了你，做出了對你不起的事來。而且他或她也沒有打算要請你原諒？那麼理直氣壯，那麼理所當然？你現在將要面臨的，就是這樣一種局面。輕則違揹你的意願，重則直接傷害你的感情，傷害你的利益。而這些舉動，都是揹着傷乾的，你壓根也沒有料到，一點思想準備也沒有，更何況你沒有親眼見到事實，也沒有任何證據。你的憤怒是可想而知的。 沒有任何人同情你，你也用不着任何人的憐憫。真是好樣兒的！ 不過，要提醒你注意的是：不要靠近江邊和海邊。姓氏中帶有水旁的那個人，得防着點。你在感到無助時，要面朝東方，望天拜拂。姿勢是這樣，端正盤膝而坐，左手握拳，貼在胸前，平伸右掌向天。這種姿態，就是你所拜之佛的形象，他住在東方妙善世界，周於密宗系統，名叫東方阿佛。
第 26 籤,26,上上籤,乾宮,遁,上九,鹹,持持,金,火,水,土,木,金,一番桃李一番春，誰識當年氣象新，林下水邊尋活計，見山了了稱心情。,你的運程將發生一個重大的轉折。你的生存環境將以全新的姿態出現了，在新的歲月裏，體將結識不少新朋友、新夥伴。這樣一條運程，在五行中屬土運。土由火生，比如火山灰積成土；土能生金，所有的金屬礦物來自地下；上被木所克，植物靠吸吮大地中的養料而成長；土又能克水，水來土掩嘛。 這樣說是不是太抽象？再簡單明瞭點兒，好。 林下是土，水邊是岸，還是土。土屬西南方向，坤封，屬陰，最旺的季節是夏秋之間。在上述有關的時間空間裏，將有貴人降臨。此人的姓氏中，有一個或兩個字與山密切相關。比如部首帶山字或者是包含有泰、恆、衡、華、嵩等三山五嶽的，那個人便是你此運程中的貴人，可以了卻你好幾樁大心事。你可千萬不要誤將對方當作仇人。
第 27 籤,27,中上籤,艮宮,艮,九三,剝,持平,土,木,金,火,水,土,莫怪我見錯，心性自成痾，偏僻不通心，真人卻不魔。,可別怪我判斷不準確，不論你是問自己還是代人預測，對方都是一個患有嚴重的心理障礙的病人。本是一個天生的館種，卻缺少應有的關懷和愛護，漸漸地生成內向型的性格。鬱鬱寡歡、自我封閉，沒有可以交心的朋友，多麼孤獨和寂寞。他(她)的心，還留在很遠很遠的偏僻角落。他(她)聽不懂別人在說些什麼，別人也無法明白他(她)。怎麼能相互交梳，溝通一氣呢？病情發展下去，就成爲精神病；治好了，就成爲正常人，這取決於爲他(她)治療的誠意和方法，更重要的是機遇，也可以說是緣份了。他需要遇到一位真人。真人是誰？上哪兒去找？什麼時候能找到？你迫不及待想要打聽明白，是嗎，這裏還有個卻字，怎麼解？卻就是退卻、消退的意思。對閒言非語，要充耳不聞。道教中對修真得道的人稱爲真人。比如《封神演義)中哪吒的師父。就叫太乙真人。那是神話？現實中也有啊，不過人們稱他們爲師什麼的。
第 28 籤,28,上上籤,坎宮,豐,九四,明夷,持持,水,土,木,金,火,水,祿馬交馳，男兒得志時，行程早辦，榮歸樂頤期。,這是一支財運籤。碌，就是財利。這支籤是回答關於財運以及相關的時機。論到祿，是與馬密切相關的。而求到此籤的人可以參照答覆，聯繫自己的具體情況，去“對號入座”。 如果馬年出生的人，遇上你的本命之年問財利，那就是上上大吉的了.那也就是說，54.66.90.02年出生的人，那就算是有福了。 如果你是馬年輕人，但抽到籤的年份不是馬年。也不算差。 你可以參考一下月份日期和時辰，每年農曆五月便是馬月，每日11時至13時，也是馬時，至於日期，推算較複雜，你翻一翻《萬年曆》使會清楚，總之，月日時中帶馬，都是順遂的，可以理解爲幸運時刻。 你並不屬馬，就查一查你的妻財子祿，或許你的妻兒子女中有人屬馬。你可以託福於他們。這便是中吉之相。 你什麼也沾不上邊兒，就找一個屬馬的夥伴去搭夥求財。 小夥計也可以，只要屬馬就行。
第 29 籤,29,中上籤,巽宮,巽,初六,小畜,持平,木,金,火,水,土,木,了卻心頭事，三生夙有緣，香開十里桂，移步入天邊。,心頭之事，耿耿於懷。心思擔盡，莫過於婚姻大事。因爲關係到一生的幸福，若配到一門稱心如意的好親事，便覺得天寬地廣，誰也不會否認夫妻配偶得靠緣份，這便是三生有緣。夙平素、歷來、素來的意思。婚姻締結的員佳時間是中秋，金桂飄香，花好月圓的吉日良移步人天邊。指婚禮大典以後，夫婦將要遷移到很遠很遠的地方去居住和生活，纔會獲得圓滿幸福的結局。否則大不利。 這一條，如今是不難做到的，不少人都愛旅行結婚，各地走走，飽覽山河秀色，感受異地風情，不也就是一種避凶趨吉的方式嗎？有機會的話，還可以出國門海外遊歷一番呢。
第 30 籤,30,中下籤,離宮,未濟,上九,解,平破,火,土,金,水,木,火,緣黃閣，白了頭，畢竟成何濟，不如超此精神，猶好賣些真氣力。,古人對學校有很多稱謂，比如貸門、序、癢、私墊、黃門，黃閣。黃閣可以說是最高學府了。緣黃閣引伸開來。便是你與做學問有緣。但是你一直到做白了頭，也許都沒有什麼成就。終於有一天，你對學業，對自己的信心產生了動搖、失望。不禁自詞：我是不是在務虛？這條道路上不能成功的話，其他領域可不可以試試身手？亡羊補牢，猶未爲晚。這隻羊，是歲月，是年華。 虛實之間，本無明顯區別，物資與精神，從來互爲因果，所以，決不應厚此薄彼，顧首不顧尾。 讀書人的悟性自然是高些，也許不用再囉嗦。審時度勢，量體裁衣，不固執己見，原本是聰明人士的特質。
